 (-77.0166382 -11.8643726, -77.0163673 -11.8647847),Peonias-Aux.Universitaria,
 (-77.0166985 -11.8665954, -77.0163457 -11.8662017),Tulipanes-Calveles,
 (-77.0167428 -11.8642178, -77.0166408 -11.864391),Línea 91,
 (-77.016785 -11.864162, -77.0170988 -11.8636331),Peonias-Pacayal,
 (-77.0170357 -11.8673861, -77.0166468 -11.8670029),Campanillas-Retamas,
 (-77.0171129 -11.8649055, -77.0167964 -11.8652047),Línea 90,
 (-77.0172134 -11.8663453, -77.0169371 -11.8660277, -77.0167789 -11.8656629, -77.0165563 -11.8653426, -77.0162076 -11.8650329, -77.016103 -11.8649463),Aux.Universitaria-AgustinGamarra,
 (-77.0172597 -11.8671289, -77.0167139 -11.866621),Tulipanes-Retamas,
 (-77.0172992 -11.8671748, -77.017082 -11.8674006),TorresPacifico-Campanillas,
 (-77.017351 -11.8671228, -77.0176836 -11.8667947),TorresPacifico-Tulipanes,
 (-77.0175789 -11.8679584, -77.0170036 -11.8674872),Orquideas-TorresPacifico,
 (-77.017593 -11.8644566, -77.0171746 -11.8648714),Claveles-SantaRosa,
 (-77.0175963 -11.8643904, -77.0170076 -11.863809),Lucumas-Peonias,
 (-77.0177278 -11.8640019, -77.017245 -11.8635124),Magnolias-Pacayal,
 (-77.0177585 -11.8655098, -77.017442 -11.8658326),Higos-Aux.Universitaria,
 (-77.0177667 -11.8631423, -77.0172785 -11.8634651, -77.0168574 -11.8638064, -77.0159857 -11.8643707),Pacayal-Aux.Universitaria,
 (-77.0178164 -11.8630629, -77.0133398 -11.8565976),Línea 88,
 (-77.0178766 -11.8641975, -77.0176138 -11.864418),Claveles-Lúcumas,
 (-77.0180267 -11.865263, -77.017788 -11.8654862),Higos-SantaRosa,
 (-77.0180374 -11.865242, -77.0181125 -11.8651712),Línea 161,
 (-77.0181635 -11.8651371, -77.0184398 -11.8648641),Higos-Magnolias,
 (-77.0181894 -11.8660146, -77.0178783 -11.8662928),TorresPacifico-Aux.Universitaria,
 (-77.0184173 -11.8685438, -77.0180954 -11.8690976),Billinghurst-12Febrero,
 (-77.0184212 -11.8678039, -77.0182602 -11.8679194),Geranios-Tulipanes,
 (-77.018448 -11.8677764, -77.0186867 -11.8675323),Aux.Universitaria-Geranios,
 (-77.0184743 -11.864274, -77.0175117 -11.8651607),Manzanos-SantaRota,
 (-77.0185488 -11.8656969, -77.0182431 -11.8659358),Línea 94,
 (-77.0186721 -11.8681894, -77.0184253 -11.8685149),Billinhurst-Orquideas,
 (-77.0187926 -11.8633464, -77.0179021 -11.8641798),Claveles-Magnolias,
 (-77.0188183 -11.8634037, -77.0190383 -11.8637555),Higos-Manzanos,
 (-77.0188305 -11.8653872, -77.018581 -11.8656444),Línea 93,
 (-77.0188464 -11.8622071, -77.019069 -11.8627374, -77.0189241 -11.8626324),Pacayal-Naranjos,
 (-77.0188877 -11.864671, -77.0181662 -11.8639466),Ciruelas-Claveles,
 (-77.0189168 -11.8638855, -77.0184743 -11.864274),Manzanos-Ciruelas,
 (-77.0189317 -11.8678995, -77.0186956 -11.8681672),Billinhurst-Tulipanes,
 (-77.0189551 -11.864724, -77.0192475 -11.8650075),Ciruelas-TorresPacifico,
 (-77.0190339 -11.8643127, -77.0189655 -11.86436, -77.0187844 -11.8645424),Higos-Ciruelas,
 (-77.0190409 -11.8631228, -77.0188317 -11.8633276),Claveles-Higos,
 (-77.0190785 -11.8637975, -77.0192743 -11.8640809, -77.0190597 -11.8643067),Higos-Rosas,
 (-77.019097 -11.8627879, -77.0184211 -11.8629375, -77.0178444 -11.8631003),Pacayal-FedericoVillareal,
 (-77.0191187 -11.8643146, -77.0195023 -11.8647319),Rosas-TorresPacifico,
 (-77.0191844 -11.8694625, -77.0185219 -11.8686777),Línea 170,
 (-77.019282 -11.8659455, -77.0191666 -11.866065),Jacarandas-Lucumas,
 (-77.0195532 -11.8647923, -77.0199878 -11.8651939),Rosas-Jacarandas,
 (-77.0195949 -11.8677391, -77.0191443 -11.8672981, -77.0181519 -11.8665369, -77.016682 -11.865088, -77.0159857 -11.8643707, -77.0156681 -11.8641587, -77.0148045 -11.8631088, -77.014327 -11.8625785),Línea 97,
 (-77.019619 -11.8671249, -77.019273 -11.8674215),Billinhurst-Aux.Universitaria,
 (-77.0196334 -11.8656135, -77.0193866 -11.8658445),Jacarandas-Magnolias,
 (-77.0197155 -11.8678679, -77.0201286 -11.8685608),Universitaria - Gustamante,
 (-77.0197214 -11.8670221, -77.0200084 -11.866711),Billinghurst-Lúcumas,
 (-77.0198756 -11.8672675, -77.0196812 -11.8670693),GuillermoBillinghurst - SantaRosa,
 (-77.0199422 -11.864287, -77.0189034 -11.865337),TorresPacifico-Magnollas,
 (-77.0199422 -11.8653199, -77.0197169 -11.8655299),Jacarandas-Ciruelas,
 (-77.0200173 -11.8652517, -77.0203069 -11.8648947),Naranjos-Jacarandas,
 (-77.0200991 -11.8686763, -77.0205926 -11.8681382),Custamante-SantaRosa,
 (-77.020146 -11.8627632, -77.0197812 -11.8626136, -77.0195157 -11.8626162, -77.0193682 -11.8626792, -77.0191214 -11.8627737, -77.0191697 -11.8630179, -77.0191053 -11.8630861),Pacayal - Claveles,
 (-77.0201716 -11.8656433, -77.019497 -11.8663231),Achiras-Lucumas,
 (-77.0202533 -11.86485, -77.0199314 -11.8643119),Línea 70,
 (-77.0203128 -11.8664157, -77.0205274 -11.8661506),Billinghurst-Rosas,
 (-77.0203906 -11.8669315, -77.0199454 -11.8673581),Jacintos-SantaRosa,
 (-77.0204276 -11.8633814, -77.0196927 -11.8639405),Arandanos-Naranjos,
 (-77.0204402 -11.8668777, -77.0210518 -11.8661847),Jacintos - Naranjos,
 (-77.0204437 -11.8632449, -77.020205 -11.8629588),Lirios-Manzanos,
 (-77.0204876 -11.866107, -77.020198 -11.8656135),Rosas-Achiras,
 (-77.0206226 -11.8673554, -77.0202632 -11.8677492),Acacias-SantaRosa,
 (-77.0206313 -11.8680896, -77.0209049 -11.8677746),Bustamante-SanMartin,
 (-77.0207093 -11.8646755, -77.0203016 -11.864056),Amapolas-TorresPacifico,
 (-77.0207267 -11.8653094, -77.0205926 -11.8653934),Achiras-Naranjos,
 (-77.0207549 -11.8636859, -77.0199422 -11.864287),TorrePacifico-Naranjos,
 (-77.0207616 -11.8652727, -77.0209816 -11.8651178),Amapolas - Achiras,
 (-77.0207755 -11.8671874, -77.0212851 -11.8665601),Acacias-Naranjos,
 (-77.0208005 -11.8636859, -77.0215783 -11.8630874),TorresPacifico-SantoDomingo,
 (-77.0208434 -11.8647227, -77.0212564 -11.8643841),Petunias-Lirios,
 (-77.0209397 -11.8677221, -77.0212241 -11.8673756),Bustamante - Nardos,
 (-77.0209534 -11.8650823, -77.0207441 -11.8647175),Amapolas-Petunias,
 (-77.0210459 -11.8650548, -77.0222663 -11.8641282),Achiras-SantoDomingo,
 (-77.0211465 -11.8626057, -77.0209534 -11.8625454, -77.0207871 -11.862548, -77.0206637 -11.8625821, -77.0205403 -11.8626504, -77.0203767 -11.8627501, -77.0202426 -11.8628682),Pacayal-Manzanos,
 (-77.0212108 -11.8643132, -77.0207683 -11.8637148),Lirios-TorresPacifico,
 (-77.0212417 -11.8655273, -77.0216414 -11.8662255),Amapolas - Billinghurst,
 (-77.0212562 -11.8673363, -77.0215486 -11.8669793),Bustamente-Naranjos,
 (-77.0212618 -11.8627357, -77.0205135 -11.8632948),Arandanos - Lirios,
 (-77.0213088 -11.8654564, -77.0225372 -11.8645114),Billinghurst - SantoDomingo,
 (-77.0214806 -11.8668837, -77.0208583 -11.8658127),Naranjos-Billinghurs,
 (-77.0215252 -11.8628099, -77.0210692 -11.8621904, -77.0216325 -11.8615604),SantoDomingo-Pacayal,
 (-77.021726 -11.8672635, -77.0219567 -11.8676888),Naranjos - Cipreses,
 (-77.0217319 -11.8654369, -77.0215964 -11.8652466),Zinnias - BillingHurst,
 (-77.0217878 -11.8613991, -77.0223671 -11.8605014, -77.02263 -11.8606694, -77.0230645 -11.8610683, -77.0234937 -11.8616038, -77.0232684 -11.8618926, -77.0232684 -11.8619503),Pacayal-Principal,
 (-77.0218138 -11.8665023, -77.0216689 -11.8662372),Amapolas-Primulas,
 (-77.0219594 -11.8649408, -77.0222732 -11.8653844),Calendulas-Billinghurst,
 (-77.0219805 -11.86773, -77.0225062 -11.8685332, -77.0225572 -11.8685988),Naranjos-ManuelPrado,
 (-77.0221801 -11.8656063, -77.0219682 -11.8658556),Primulas - Zinnias,
 (-77.0221935 -11.8655669, -77.0223088 -11.8654238),Primulas - Caléndulas,
 (-77.0222974 -11.8660478, -77.0218897 -11.8665806),FlorLoto-Amapolas,
 (-77.0223769 -11.8659691, -77.0226719 -11.8655754),FlorLoto-Huayllapampa,
 (-77.0224288 -11.8675186, -77.0222786 -11.8672902),Amapolas-Cipreses,
 (-77.0224974 -11.8653166, -77.0231049 -11.8661291),Huayllapampa-Cipreses,
 (-77.0225119 -11.8661921, -77.0220318 -11.8668431),FlorCerezo-Amapolas,
 (-77.0226183 -11.8660558, -77.0228221 -11.8657591),FlorCerezo-Huayllapampa,
 (-77.0226946 -11.8679492, -77.0228904 -11.8682747),Amapolas-ManuelPrado,
 (-77.0227504 -11.864791, -77.0212243 -11.8626254),SantoDomingo-Pacayal,
 (-77.0229253 -11.8670987, -77.022523 -11.8676605),Pinos-Amapolas,
 (-77.0230889 -11.8675423, -77.0226785 -11.8679124),Narcisos-Amapolas,
 (-77.0232418 -11.8674085, -77.023671 -11.8670279),Narcisos-Hyayllapampa,
 (-77.0233898 -11.8657244, -77.0227702 -11.8648529),SantoDomingo - Primulas,
 (-77.0234158 -11.8657621, -77.0222785 -11.8673213),Cipreses - Amapolas,
 (-77.0234404 -11.866656, -77.0239393 -11.8673621),Hayllapampa-ManuelPrado,
 (-77.0234556 -11.8657386, -77.0237345 -11.8661691),SantoDoming-Cipreses,
 (-77.0243837 -11.8629702, -77.0240243 -11.862566, -77.0236113 -11.862356, -77.0233109 -11.8620567, -77.0232358 -11.8619623, -77.0234937 -11.8616038, -77.0240136 -11.8621302, -77.0243569 -11.8618205, -77.0240029 -11.861558, -77.0239814 -11.8614793),Principal-ParqueMicheleTrefogli,
 (-77.0244171 -11.8669284, -77.0283599 -11.8725823),M.Prado - SantoDomingo,
 (-77.0260065 -11.8655558, -77.0250516 -11.8642118, -77.0247298 -11.8637918, -77.0248049 -11.8637551, -77.0246546 -11.8634663, -77.0250892 -11.8631618, -77.0252716 -11.8630568),Principal-ParquePalmerasChillon,
 (-77.0265659 -11.8690959, -77.0268904 -11.8695894),Collasuyo - LosAngeles,
 (-77.0271342 -11.8699434, -77.0274695 -11.8704159),Collasuyo - Dalias,
 (-77.0274107 -11.8695185, -77.0277916 -11.8700225),Claudivilla-Dalias,
 (-77.02751 -11.8687678, -77.0269843 -11.8695054, -77.02648 -11.869865),LosAngeles - SantoDomingo,
 (-77.0277301 -11.8684883, -77.0280735 -11.8680237),LosAngeles-Principal,
 (-77.0277573 -11.8700725, -77.0271404 -11.8708613),Dalias - SantoDomingo,
 (-77.0280077 -11.8679879, -77.0275088 -11.8676362, -77.0268705 -11.8667857, -77.0260431 -11.8655697),Principal - ManuelPrado,
 (-77.0284213 -11.8726247, -77.028711 -11.8723779, -77.0301433 -11.8694539),SantoDomingo - CaminoReal,
 (-77.0288209 -11.8724182, -77.0291374 -11.8726597, -77.0313743 -11.8752897, -77.0321146 -11.8761402),CaminoReal - Trapiche Chillon,
 (-77.0301912 -11.869655, -77.0303628 -11.8698859, -77.0305989 -11.8704267, -77.0308081 -11.8707626, -77.0310012 -11.8709254, -77.0314572 -11.8711459),CaminoReal - C.18,
 (-77.0304903 -11.8622465, -77.0305761 -11.8625037, -77.0313539 -11.862761, -77.0316329 -11.8628135),PaloRosa-CamaraReal,
 (-77.0305596 -11.8682156, -77.0311068 -11.8681893, -77.031214 -11.8681683, -77.0321582 -11.8676539, -77.0325981 -11.8674334, -77.0327054 -11.8676171),CaminoReal - Malecón,
 (-77.0305596 -11.8682156, -77.0315717 -11.8629758, -77.0317648 -11.8620728),CamaraReal-C.A,
 (-77.0309463 -11.86232, -77.0304903 -11.8622465),C.B - Palo Rosa,
 (-77.0309544 -11.8623408, -77.0312039 -11.8623841),C.B-C.Collasuyo,
 (-77.0309851 -11.8632819, -77.0300678 -11.8622582, -77.0295421 -11.8615915, -77.0290593 -11.8611715, -77.0286945 -11.8608198, -77.0281205 -11.859922, -77.0275895 -11.8593708, -77.0272891 -11.8586043, -77.0271603 -11.8581791, -77.0273803 -11.8581056, -77.0275251 -11.8581476, -77.0279972 -11.859082, -77.0285551 -11.859691, -77.0287482 -11.8598695, -77.0289681 -11.8597225, -77.0294348 -11.8601005, -77.0297781 -11.860426, -77.0301697 -11.8611138, -77.030497 -11.8617437, -77.030615 -11.8618697, -77.0311997 -11.862022),C.D - C.A,
 (-77.031029 -11.8727146, -77.029999 -11.8735965),C.11 - TrapicheChillon,
 (-77.0311066 -11.8627576, -77.0309953 -11.8632669),C.Collasuyo - C.D,
 (-77.0311721 -11.8624152, -77.0311091 -11.862675),C.Collasuyo - PaloRosa,
 (-77.0311971 -11.8623355, -77.0312682 -11.8620428),C.A-C.Collasuyo,
 (-77.0317648 -11.8620728, -77.0317817 -11.8620536, -77.0325317 -11.8592836),CamaraReal - Av.A,
 (-77.032059 -11.8718274, -77.0311577 -11.8726201),C.18 - C.11,
 (-77.0321702 -11.8761501, -77.0337956 -11.8748219, -77.0341872 -11.874507),TrapiceChillon - Av.U,
 (-77.0323202 -11.8763417, -77.0358821 -11.8804784),Trapiche Chillon - ParqueZonal,
 (-77.0325861 -11.8592878, -77.0369769 -11.8615847, -77.0374168 -11.861897),Av.A - LasFrambuesas,
 (-77.0327608 -11.8731926, -77.0330344 -11.8736126, -77.033603 -11.8740273, -77.0339463 -11.874442, -77.0340321 -11.87461),C.18 - Av.U,
 (-77.0337706 -11.8705031, -77.0339288 -11.8708286),Jr.SanJose - C.11,
 (-77.0337836 -11.8696396, -77.0334456 -11.8698496, -77.0335529 -11.8701436),Malecon - Jr.SanJosé,
 (-77.0343258 -11.8706435, -77.032341 -11.8715622, -77.0320942 -11.8718142),C.11 - Malecon,
 (-77.0354362 -11.8674357, -77.0352833 -11.8676195, -77.035286 -11.8677533, -77.035522 -11.8680079, -77.0360263 -11.8682914, -77.0363723 -11.8685565),C.13-C.11,
 (-77.0354824 -11.8754258, -77.0351928 -11.8751686, -77.034938 -11.8749245, -77.0347368 -11.8747958, -77.0344954 -11.8747302, -77.0342808 -11.8745754, -77.0342218 -11.8744782),Pacifico - Av.U,
 (-77.0355193 -11.8674252, -77.0364259 -11.8679633, -77.0366995 -11.8681471),Gallinazos - C.11,
 (-77.0355988 -11.8755112, -77.0360284 -11.8752177, -77.036766 -11.8747846),Pacifico - C.1,
 (-77.0358576 -11.869092, -77.0356135 -11.8689371, -77.0355116 -11.8690448),C.Collasuyo - C.8,
 (-77.0360318 -11.8646901, -77.0371986 -11.8653962),Pacaes-Lucumas,
 (-77.0360906 -11.8666711, -77.0370214 -11.8674218),Ca.3 - C.12,
 (-77.0361094 -11.8667926, -77.0357607 -11.8670236, -77.0354737 -11.867399),C.13-LosGallinazos,
 (-77.0364366 -11.866553, -77.0361738 -11.8667394),Ca.3-C.13,
 (-77.0367436 -11.8663253, -77.0364861 -11.8665432),C.13 - C.5,
 (-77.0367578 -11.8681636, -77.0395473 -11.8702897),LosGallinazos - C.5,
 (-77.0368128 -11.8677467, -77.0359196 -11.8670826, -77.0357694 -11.866996),C.Collasuyo - C.13,
 (-77.0368956 -11.8679056, -77.0360909 -11.8689503, -77.0359166 -11.869155),C.11 - C.Collasuyo,
 (-77.0369679 -11.8630364, -77.0365629 -11.8637241, -77.0360747 -11.8645326, -77.0360077 -11.8646874),Frambuesas-Pacaes,
 (-77.0370161 -11.8630209, -77.038427 -11.8638398),Duraznos-Ciruelas,
 (-77.037161 -11.8627216, -77.0369893 -11.8630261),Frambuesas-Duraznos,
 (-77.0372039 -11.8627046, -77.0386925 -11.8635669),Toronjas-Ciruelas,
 (-77.0372152 -11.867206, -77.0368128 -11.8677467),C.12-C.Collasuyo,
 (-77.0372245 -11.8654014, -77.0380077 -11.864753, -77.0388204 -11.8641362, -77.0391181 -11.8637897),Lucumas-Fresas,
 (-77.0372311 -11.8677278, -77.0370541 -11.867943),C.10-C.Collasuyo,
 (-77.0373272 -11.8623817, -77.0372039 -11.8627046),Frambuesas-Toronjas,
 (-77.0373407 -11.8623371, -77.039237 -11.8634789),Manzanas-Lucumas,
 (-77.0373628 -11.8677062, -77.0378832 -11.8680526),C.2 - Caudivilla,
 (-77.0373686 -11.865908, -77.0368268 -11.8662755),C.13-AymiTupac,
 (-77.0373916 -11.8619617, -77.0373219 -11.8623345),LasFrambuesas - LasManzanas,
 (-77.0374618 -11.8682501, -77.0369307 -11.8678538),C.Collasuyo-C.11,
 (-77.0374812 -11.8668844, -77.0372908 -11.8671181),C.12-C.5,
