WKT,Nombre,Descripción
"POINT (-77.0384827 -11.8882706)",Punto 117,
"POINT (-77.03873 -11.8887789)",Punto 118,
"POINT (-77.0389365 -11.8892067)",Punto 119,
"POINT (-77.0385008 -11.8894189)",Punto 120,
"POINT (-77.0377632 -11.889789)",Punto 121,
"POINT (-77.0392454 -11.8908094)",Punto 122,
"POINT (-77.0396312 -11.8904875)",Punto 123,
"POINT (-77.040004 -11.890168)",Punto 124,
"POINT (-77.0393684 -11.8889817)",Punto 125,
"POINT (-77.0399665 -11.8886772)",Punto 126,
"POINT (-77.0406666 -11.8895985)",Punto 127,
"POINT (-77.0409831 -11.8899791)",Punto 128,
"POINT (-77.0399504 -11.8908366)",Punto 129,
"POINT (-77.0413156 -11.8903518)",Punto 130,
"POINT (-77.0402795 -11.8912236)",Punto 131,
"POINT (-77.0416853 -11.8900345)",Punto 132,
"POINT (-77.0413844 -11.8896701)",Punto 133,
"POINT (-77.0410679 -11.8892973)",Punto 134,
"POINT (-77.0407246 -11.8889194)",Punto 135,
"POINT (-77.0404027 -11.888468)",Punto 136,
"POINT (-77.0411901 -11.8879353)",Punto 137,
"POINT (-77.0415008 -11.8882882)",Punto 138,
"POINT (-77.0418094 -11.8886321)",Punto 139,
"POINT (-77.0417394 -11.887685)",Punto 140,
"POINT (-77.0422115 -11.8875512)",Punto 141,
"POINT (-77.0425121 -11.8882279)",Punto 142,
"POINT (-77.0420508 -11.8884588)",Punto 143,
"POINT (-77.0426355 -11.8886531)",Punto 144,
"POINT (-77.0428416 -11.8891141)",Punto 145,
"POINT (-77.0399294 -11.8881299)",Punto 146,
"POINT (-77.0404069 -11.887836)",Punto 147,
"POINT (-77.0408331 -11.8875402)",Punto 148,
"POINT (-77.0399498 -11.8868716)",Punto 149,
"POINT (-77.0401482 -11.8867617)",Punto 150,
"POINT (-77.0410511 -11.8864425)",Punto 151,
"POINT (-77.0408088 -11.8866451)",Punto 152,
"POINT (-77.0403578 -11.8870109)",Punto 153,
"POINT (-77.040284 -11.8855816)",Punto 154,
"POINT (-77.0400148 -11.8857633)",Punto 155,
"POINT (-77.0397119 -11.8853988)",Punto 156,
"POINT (-77.0395671 -11.8861386)",Punto 157,
"POINT (-77.0387893 -11.8861494)",Punto 158,
"POINT (-77.0390968 -11.8865255)",Punto 159,
"POINT (-77.0387377 -11.8868538)",Punto 160,
"POINT (-77.0392927 -11.8878402)",Punto 161,
"POINT (-77.039695 -11.887641)",Punto 162,
"POINT (-77.0379813 -11.887426)",Punto 163,
"POINT (-77.033671 -11.8893792)",Punto 164,
"POINT (-77.0332922 -11.889462)",Punto 165,
"POINT (-77.0332279 -11.8893608)",Punto 166,
"POINT (-77.0328148 -11.889735)",Punto 167,
"POINT (-77.0322891 -11.8898805)",Punto 168,
"POINT (-77.0323695 -11.8899869)",Punto 169,
"POINT (-77.0341022 -11.8908058)",Punto 170,
"POINT (-77.0335497 -11.8910893)",Punto 171,
"POINT (-77.0316721 -11.8908111)",Punto 172,
"POINT (-77.0318867 -11.8901902)",Punto 173,
"POINT (-77.031515 -11.8897901)",Punto 174,
"POINT (-77.0312254 -11.8901838)",Punto 175,
"POINT (-77.0309571 -11.890588)",Punto 176,
"POINT (-77.0349054 -11.8924814)",Punto 177,
"POINT (-77.034467 -11.8927218)",Punto 178,
"POINT (-77.0341666 -11.8923019)",Punto 179,
"POINT (-77.0335014 -11.8920866)",Punto 180,
"POINT (-77.0337374 -11.8925171)",Punto 181,
"POINT (-77.0326538 -11.8925328)",Punto 182,
"POINT (-77.0325143 -11.8932047)",Punto 183,
"POINT (-77.0322139 -11.8927271)",Punto 184,
"POINT (-77.0313556 -11.8912048)",Punto 185,
"POINT (-77.0310445 -11.8916772)",Punto 186,
"POINT (-77.0309013 -11.891441)",Punto 187,
"POINT (-77.0309318 -11.8917559)",Punto 188,
"POINT (-77.0308137 -11.8915781)",Punto 189,
"POINT (-77.030617 -11.8909896)",Punto 190,
"POINT (-77.0305027 -11.8911238)",Punto 191,
"POINT (-77.0298714 -11.8901812)",Punto 192,
"POINT (-77.0305924 -11.8895224)",Punto 193,
"POINT (-77.0302812 -11.8898111)",Punto 194,
"POINT (-77.0308112 -11.8890459)",Punto 195,
"POINT (-77.0302973 -11.889155)",Punto 196,
"POINT (-77.0293564 -11.889672)",Punto 197,
"POINT (-77.0297731 -11.8902682)",Punto 198,
"POINT (-77.0288075 -11.8897118)",Punto 199,
"POINT (-77.028625 -11.890229)",Punto 200,
"POINT (-77.030154 -11.8914335)",Punto 201,
"POINT (-77.0284534 -11.8897828)",Punto 202,
"POINT (-77.0287672 -11.8904626)",Punto 203,
"POINT (-77.029022 -11.8908852)",Punto 204,
"POINT (-77.0292071 -11.8913418)",Punto 205,
"POINT (-77.0300442 -11.8923212)",Punto 206,
"POINT (-77.029706 -11.8918668)",Punto 207,
"POINT (-77.0287867 -11.8921841)",Punto 208,
"POINT (-77.0285641 -11.8917562)",Punto 209,
"POINT (-77.0283468 -11.8913809)",Punto 210,
"POINT (-77.0281162 -11.8910004)",Punto 211,
"POINT (-77.0292795 -11.8929691)",Punto 212,
"POINT (-77.0283978 -11.8924234)",Punto 213,
"POINT (-77.0276977 -11.8912821)",Punto 214,
"POINT (-77.0271124 -11.8903889)",Punto 215,
"POINT (-77.0276682 -11.8900345)",Punto 216,
"POINT (-77.0276112 -11.8899295)",Punto 217,
"POINT (-77.0279686 -11.8906696)",Punto 218,
"POINT (-77.0269332 -11.8904133)",Punto 219,
"POINT (-77.0269895 -11.890479)",Punto 220,
"POINT (-77.0276011 -11.8913425)",Punto 221,
"POINT (-77.0283172 -11.8924606)",Punto 222,
"POINT (-77.030497 -11.8920751)",Punto 223,
"POINT (-77.0301032 -11.8924026)",Punto 224,
"POINT (-77.0292695 -11.893084)",Punto 225,
"POINT (-77.0288636 -11.8933471)",Punto 226,
"POINT (-77.0298113 -11.8945407)",Punto 227,
"POINT (-77.0310232 -11.8939984)",Punto 228,
"POINT (-77.0314465 -11.8937654)",Punto 229,
"POINT (-77.0318756 -11.8935344)",Punto 230,
"POINT (-77.0299472 -11.8950111)",Punto 231,
"POINT (-77.0294537 -11.8951371)",Punto 232,
"POINT (-77.0305802 -11.8953891)",Punto 233,
"POINT (-77.0300652 -11.8955151)",Punto 234,
"POINT (-77.0327221 -11.8936362)",Punto 235,
"POINT (-77.0350987 -11.8929844)",Punto 236,
"POINT (-77.0334033 -11.8938987)",Punto 237,
"POINT (-77.0331405 -11.8934315)",Punto 238,
"POINT (-77.0322553 -11.8938409)",Punto 239,
"POINT (-77.0321063 -11.8939124)",Punto 240,
"POINT (-77.0325343 -11.8943186)",Punto 241,
"POINT (-77.0323799 -11.8944058)",Punto 242,
"POINT (-77.031942 -11.8946768)",Punto 243,
"POINT (-77.030709 -11.8958458)",Punto 244,
"POINT (-77.0346586 -11.8932058)",Punto 245,
"POINT (-77.0342039 -11.8934529)",Punto 246,
"POINT (-77.0348899 -11.8950756)",Punto 247,
"POINT (-77.0343528 -11.8955942)",Punto 248,
"POINT (-77.0340859 -11.8951431)",Punto 249,
"POINT (-77.0335643 -11.8962398)",Punto 250,
"POINT (-77.0337961 -11.896705)",Punto 251,
"POINT (-77.0330826 -11.8957129)",Punto 252,
"POINT (-77.0326233 -11.8959524)",Punto 253,
"POINT (-77.0330471 -11.8966873)",Punto 254,
"POINT (-77.0334011 -11.8970442)",Punto 255,
"POINT (-77.0326777 -11.8969743)",Punto 256,
"POINT (-77.0321566 -11.8950968)",Punto 257,
"POINT (-77.0317336 -11.8953681)",Punto 258,
"POINT (-77.0352665 -11.8954477)",Punto 259,
"POINT (-77.0311381 -11.8975885)",Punto 260,
"POINT (-77.0323773 -11.8965754)",Punto 261,
"POINT (-77.0304568 -11.8969061)",Punto 262,
"POINT (-77.0299741 -11.8970268)",Punto 263,
"POINT (-77.0295717 -11.8956463)",Punto 264,
"POINT (-77.0308645 -11.8984651)",Punto 265,
"POINT (-77.0307465 -11.8979087)",Punto 266,
"POINT (-77.0303764 -11.8986698)",Punto 267,
"POINT (-77.0316746 -11.8941608)",Punto 268,
"POINT (-77.0295075 -11.8916568)",Punto 269,
"POINT (-77.0398756 -11.8957867)",Punto 270,
"POINT (-77.0396266 -11.8962259)",Punto 271,
"POINT (-77.0392846 -11.8960592)",Punto 272,
"POINT (-77.0388653 -11.8958148)",Punto 273,
"POINT (-77.038446 -11.896698)",Punto 274,
"POINT (-77.038878 -11.8975683)",Punto 275,
"POINT (-77.0379688 -11.8968937)",Punto 276,
"POINT (-77.0383122 -11.8986228)",Punto 277,
"POINT (-77.0379428 -11.8988348)",Punto 278,
"POINT (-77.0377029 -11.8984175)",Punto 279,
"POINT (-77.0374825 -11.8979932)",Punto 280,
"POINT (-77.0373788 -11.8996851)",Punto 281,
"POINT (-77.0370167 -11.8994504)",Punto 282,
"POINT (-77.0366707 -11.8992142)",Punto 283,
"POINT (-77.0363328 -11.8990113)",Punto 284,
"POINT (-77.0372505 -11.8975864)",Punto 285,
"POINT (-77.0369823 -11.8972006)",Punto 286,
"POINT (-77.036766 -11.8982777)",Punto 287,
"POINT (-77.0364414 -11.8980651)",Punto 288,
"POINT (-77.0360693 -11.8978202)",Punto 289,
"POINT (-77.0362812 -11.8974843)",Punto 290,
"POINT (-77.0365378 -11.897123)",Punto 291,
"POINT (-77.0367435 -11.8968371)",Punto 292,
"POINT (-77.0354139 -11.8963514)",Punto 293,
"POINT (-77.0350974 -11.8966086)",Punto 294,
"POINT (-77.034797 -11.8968842)",Punto 295,
"POINT (-77.0344269 -11.8971571)",Punto 296,
"POINT (-77.0358431 -11.8981702)",Punto 297,
"POINT (-77.0356032 -11.8985552)",Punto 298,
"POINT (-77.0341387 -11.8974313)",Punto 299,
"POINT (-77.0344016 -11.8977252)",Punto 300,
"POINT (-77.0347633 -11.8979851)",Punto 301,
"POINT (-77.0350882 -11.8982186)",Punto 302,
"POINT (-77.0353586 -11.8989278)",Punto 303,
"POINT (-77.0371347 -11.9000552)",Punto 304,
"POINT (-77.0369094 -11.9003963)",Punto 305,
"POINT (-77.0366814 -11.9007454)",Punto 306,
"POINT (-77.0344594 -11.8988165)",Punto 307,
"POINT (-77.0341253 -11.8991027)",Punto 308,
"POINT (-77.0351333 -11.8992638)",Punto 309,
"POINT (-77.0348972 -11.8995997)",Punto 310,
"POINT (-77.0362094 -11.9014278)",Punto 311,
"POINT (-77.0334668 -11.899071)",Punto 312,
"POINT (-77.0332254 -11.8987298)",Punto 313,
"POINT (-77.0332111 -11.8994412)",Punto 314,
"POINT (-77.0338035 -11.8994177)",Punto 315,
"POINT (-77.0335383 -11.8997036)",Punto 316,
"POINT (-77.0338377 -11.8971071)",Punto 317,
"POINT (-77.0322079 -11.8984674)",Punto 318,
"POINT (-77.0325191 -11.8987588)",Punto 319,
